ID_company;name;email;country;provinces;industry;position_available;description
1;Mitra Utama;brianyoung@lucas-webb.info;Indonesia;Jawa Timur;Fashion;Patternmaker;Setting trends in Indonesian fashion.
2;Citra Harmoni;icruz@gonzalez.com;Indonesia;Sulawesi Tengah;Travel;Cruise Ship Director;Your gateway to unforgettable travel experiences.
3;Mulia Harmoni;phillipsmartin@white.org;Indonesia;Banten;E-commerce;Customer Support Specialist;Your gateway to a world of products.
4;Jaya Harmoni;henryjocelyn@wu.com;Indonesia;DKI Jakarta;Education;Principal;Innovative and inclusive learning environments.
5;Nusantara Cipta;nicholemays@evans.info;Indonesia;Kepulauan Riau;Information Technology;IT Consultant;Leaders in IT excellence.
6;Mitra Utama;kimberlythomas@ortiz-carpenter.info;Indonesia;Jawa Timur;Food and Beverage;Food Quality Assurance Specialist;Your source for quality food and beverage experiences.
7;Harmoni Bersama;nicholas60@holmes-schultz.info;Indonesia;Sulawesi Tengah;Logistics;Warehouse Supervisor;Efficient and reliable logistics solutions.
8;Citra Sejahtera;emiller@adams-smith.com;Indonesia;Jawa Timur;Logistics;Warehouse Supervisor;Your logistics partner for success.
9;Bersatu Makmur;katherineparker@collins.net;Indonesia;DKI Jakarta;Logistics;Warehouse Supervisor;Your logistics partner for success.
10;Harapan Baru;joshua39@scott.info;Indonesia;Banten;Finance;Personal Financial Advisor;Your trusted partner in financial services.
11;Nusantara Cipta;stephanie24@walker.com;Indonesia;Sumatera Utara;Real Estate;Real Estate Attorney;Your partner in real estate excellence.
12;Mutiara Sejahtera;john50@flowers-hicks.info;Indonesia;Kepulauan Riau;Information Technology;IT Consultant;Leaders in IT excellence.
13;Mutiara Sejahtera;johnmatthews@spears-reed.info;Indonesia;Kepulauan Riau;Food and Beverage;Food Quality Assurance Specialist;Your source for quality food and beverage experiences.
14;Sinar Abadi;mary05@kelly.info;Indonesia;Jawa Barat;Environmental;Environmental Health and Safety Specialist;Creating a greener and cleaner world.
15;Jaya Cipta;rmiles@vazquez.biz;Indonesia;Jawa Timur;Telecommunications;Telecommunications Engineer;Connecting Indonesia through advanced telecommunications.
